"","PN07018NM","PN07020NM","PN07021NM","PN07022NM","PN07023NM","PN07024NM","PN07025NM","PN07026NM","PN07027NM","PN07028NM","PN07029NM","PN07030NM","PN07031NM","PN07033NM","PN07035NM","PN07036NM","PN07037NM","PN07051NM","PN07053NM","PN07054NM","PN07055NM","PN07056NM","PN07057NM","PN07058NM","PN07059NM","PN07060NM","PN07061NM","PN07062NM","PN07063NM","PN07064NM","PN07066NM","PN07068NM","PN07069NM","PN07070NM","PN07084NM","PN07086NM","PN07087NM","PN07088NM","PN07089NM","PN07090NM","PN07091NM","PN07092NM","PN07093NM","PN07094NM","PN07095NM","PN07096NM","PN07097NM","PN07099NM","PN07101NM","PN07102NM","PN07103NM","PN07117NM","PN07119NM","PN07120NM","PN07121NM","PN07122NM","PN07123NM","PN07124NM","PN07125NM","PN07126NM","PN07127NM","PN07128NM","PN07129NM","PN07130NM","PN07132NM","PN07134NM","PN07135NM","PN07136NM","PN07183NM","PN07185NM","PN07186NM","PN07187NM","PN07188NM","PN07189NM","PN07190NM","PN07191NM","PN07192NM","PN07193NM","PN07194NM","PN07195NM","PN07196NM","PN07198NM","PN07200NM","PN07201NM","PN07202NM"
Oct14,9906158.81740548,1216471.74248839,215377.028128387,1194988.42218935,2152880.86014806,103763.252644194,280933.907966774,327587.598247097,327386.543617419,210414.543001613,271580.996643871,83083.9238829032,94843.0725496774,118069.537084194,1181.99112935484,2125134.14703065,7351.86781258064,9740677.77079869,1213150.1148079,213848.455255084,1182027.88928145,2131457.78447537,103554.736313869,280559.228273947,309313.484933419,323321.751690102,207959.547620695,254074.988896524,82679.7201429048,92288.9977284484,106747.17835845,319.725717590323,2109434.58064063,6928.25377141935,165481.046606792,3321.62768049039,1528.57287330338,12960.5329079096,21423.0756726953,208.516330324191,374.679692827363,18274.1133136774,4064.79192731774,2454.99538091776,17506.0077473469,404.203739998417,2554.07482122903,11322.3587257436,862.265411764516,15699.566390014,423.614041161289,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,26.449032548872,20.2180668785376,34.8407266207084,25.7253301590218,25.6462944000037,39.3353430380824,22.3454878678997,21.0735349372046,40.1414169084359,22.4474329933648,41.8259941058977,43.2475060003331,29.1537255311102,88.2535924317059,3853.35660456111,86.895271313838,n.d.
Nov14,9726351.64616013,1175383.29758828,208239.421296247,1183907.39438387,2113589.94984224,97789.6504437957,263199.795442484,325172.547221742,313163.297232914,197483.98482643,265630.108639193,85983.8678195161,81715.9697631398,110591.442784624,531.331984247312,1994228.21395011,5918.61030926882,9454976.16515237,1171341.90557367,204983.093528167,1169590.7087632,2066871.0593148,97402.3563758,262538.737703267,303017.976867433,303942.059933267,195656.0106169,263978.866134033,84904.5467585,80137.4268838667,100305.868350933,338.926376,1980626.38138357,5694.09530956667,271375.481007766,4041.39201461318,3256.32776808052,14316.6856206711,46718.8905274401,387.294067995693,661.057739217146,22154.5703543086,9221.23729964739,1827.97420953005,1651.24250516022,1079.32106101616,1578.5428792731,10285.5744336903,192.405608247312,13601.832566541,224.51499970215,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,23.9428567873832,19.9121471266708,31.8835017347264,22.1041297045797,20.2491781740463,42.4559918278944,19.9604985796476,22.2311022635545,36.9981980000374,21.2963651442931,46.5139724380789,37.2108371498214,15.7986309701364,89.0761329315684,4216.89306525038,87.2705712561251,n.d.
Dic14,9453565.31429968,1106673.50320161,195896.481861935,1199732.80971,2072400.92366613,92701.123886129,253854.178946129,301240.533731613,307522.147786129,186665.643895161,263008.863514839,85851.9042470968,81219.4388751613,99945.7351461291,442.150125806452,1942423.58463161,4133.39599387097,9191278.37998366,1101024.81106344,182433.3782766,1157509.09386464,2002539.33055326,92142.0829701065,253384.22332741,292384.43212131,297983.449762984,184520.395820919,260497.831890158,85443.5765382065,80411.6539555807,93802.2821127645,198.35383931129,1941564.75126351,3956.00464817258,262286.934316017,5648.69213817456,13463.1035853355,42223.7158453563,69861.5931128708,559.040916022578,469.955618719371,8856.10161030309,9538.69802314512,2145.24807424195,2511.03162468063,408.327708890298,807.784919580627,6143.45303336454,243.796286495161,858.833368101313,177.391345698387,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,24.3957174526463,20.7350187206042,26.4746603483893,23.3242714664548,22.391750098797,48.374638190361,19.7969232369033,19.736083826721,39.348147914943,20.5002704856193,47.5027423693757,35.0502960302683,16.2905289311254,87.7748598254704,9031.31207208116,86.8814383325188,n.d.
Ene15,9228373.8015271,1050358.32616129,190611.509886774,1093431.05039774,1988146.77426452,86251.3220574193,250667.432522903,295783.23980129,287347.663736452,179540.381786774,249190.921178064,82417.6384993549,83922.7144558064,97583.6997212903,546.114632903226,1931551.53561613,6203.57131967742,8695513.80768095,1047680.91600349,189266.72165071,1076204.06234283,1889143.63586922,86072.1463066355,250298.468806297,279267.859878706,278699.198369748,177329.369288526,246536.623817419,81891.0195826645,82390.744710029,85474.2150141387,206.132438525807,1915334.85446045,6018.45759072581,532859.993846148,2677.41015779698,1344.7882360645,17226.9880549129,99003.1383953005,179.175750783865,368.963716606466,16515.379922584,8648.4653667032,2211.01249824841,2654.29736064512,526.618916690334,1531.96974577738,12109.4847071516,339.982194377419,16216.681155681,185.113728951612,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,28.5715185900026,21.4512490462889,33.1155413825548,26.5101926992326,28.7798567394407,47.6723941302089,23.6970882554672,18.6186047761824,41.1068545445796,21.5561013990296,47.2603557761229,35.8977440178396,28.9573366000582,87.9130231160018,6579.62483735649,87.5358005299765,n.d.
Feb15,8852946.42128286,1007377.571255,196333.377959643,1057763.11112393,2089422.06002,80374.9215546428,231544.693075,275432.241456071,275418.605025,173590.028837857,230467.816611071,78526.3610392857,79807.5143103571,90158.7325139286,394.807591428571,1794277.12973286,7837.67224607143,8132714.10315501,1003410.26673726,186992.626697798,1040753.43517067,1741684.99011928,79803.7334997482,230981.500001482,260715.219944045,265402.19952068,172253.187048959,227717.948220295,78140.3053689125,77961.4142029196,81873.7944890357,172.927952530357,1779844.26059556,7657.29648135714,671857.359224527,3967.30451774277,9340.75126184458,17009.6759532568,299362.1109974,571.188054894622,563.193073517888,14717.0215120267,10016.4055043197,1336.84178889816,2749.86839077678,386.05567037322,1846.10010743748,8284.93802489286,221.879638898214,14432.869137296,180.375764714281,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,28.6727236829869,20.4156443093569,40.6829975143025,26.0266597243358,29.4619938968872,43.9729274708854,23.5869939252405,14.2100434476175,42.5774766174352,22.165396391739,42.8184292072278,34.5913526464947,26.5696831283109,86.9506670922724,3815.44733055686,87.3802485080474,n.d.
Mar15,7990841.16258097,916152.625084516,183581.468574516,1004832.4203029,1811911.00497258,71978.6471419355,213912.602701936,278817.973213548,382334.927753226,166068.386094516,209786.834395484,71510.450123871,66788.0029229032,81352.3752009677,405.62761,1648753.23226419,7287.90541096774,7694601.90538519,910990.407803897,178798.471689316,984601.912170322,1630920.52177616,71707.8891139613,213659.726415613,264103.574970426,343111.372745239,164117.01803969,207821.6482408,70972.1252098065,65175.097716671,74741.1381908129,225.01833476129,1636159.22816382,7118.8757980129,296239.25719578,5162.21728061928,4782.99688519996,20230.5081325808,180990.483196425,270.758027974191,252.876286322604,14714.3982431226,39223.5550079873,1951.36805482584,1965.18615468378,538.324914064516,1612.90520623225,6611.23701015483,180.60927523871,12594.004100374,169.029612954838,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,25.767400671294,20.6146074525254,34.4512128422179,20.7898616391944,24.9405341217842,43.3029095392206,18.9952510522813,14.8312610819608,37.9612144407513,21.3602942224974,35.2825488380349,34.725576484102,18.3598619914896,87.0795223710015,7094.0841220628,86.1338918595792,n.d.
Abr15,7716182.68867909,884167.407758,171814.848221667,986514.575572667,1672534.55593233,66566.0004656667,197428.146023667,265700.616132,320705.322979419,154971.555752333,205495.614563,68674.5913896667,54179.3859746666,75381.895042,954.147094,1525257.04122,6860.09998633333,7226674.94113152,877090.905025575,168974.57588095,955170.88206635,1523152.21797138,65892.4115244,197215.896984625,255492.96906815,296260.5028981,154337.319140875,202610.979617775,67877.60187355,51098.840208325,69037.47110715,728.98117135,1512926.79866828,6701.0604621,489507.747547561,7076.50273242495,2840.27234071673,31343.6935063167,149382.337960958,673.588941266682,212.249039041611,10207.64706385,24444.8200813194,634.236611458346,2884.63494522509,796.989516116673,3080.54576634165,6344.42393485,225.16592265,12330.242551725,159.039524233335,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,24.331038057419,18.9908173546174,31.0297228385399,21.8104595673606,22.2968357100732,34.5104957930798,16.7366279421315,13.1526992825722,37.8144143530629,20.0185326736166,36.0135100752393,33.5229376052302,20.3116353047728,86.321983850491,1318.04665333212,82.2932673145337,n.d.
May15,7829278.76608613,877462.590109677,156682.624895807,927105.704030323,1901511.76108903,60900.7630512903,185795.077643871,247290.611602581,280779.355601936,144636.63989,199769.626984194,64401.1621570968,48924.2567135484,73577.4286551613,1358.31868064516,1434816.51505387,10064.2790606452,6672138.39274888,800282.483498874,146128.247508916,910382.786418429,1781142,60763.4913732,185412.2709376,238892.720078623,260830.160608861,143304.730627574,197223.931705658,63971.5905087677,47590.5160485323,63095.5490314032,1092.89599762903,1424208.80939418,9249.61298486129,248341,5619.18334622662,10554.3773868904,16722.9176118937,120370,137.271678090304,382.806706270898,8397.89152395802,19949.1949930742,1331.90926242579,2545.69527853542,429.571648329058,1333.74066501611,10481.8796237581,265.422683016129,10607.7056596898,814.666075783865,7,7,7,7,9.15,7,7,7,7,7,7,7,7,7,7,7,7,24.4284513277029,18.0975269618644,26.970592731492,17.9758682631183,24.3202861062565,24.2209815469628,16.1927627859538,12.5194011290483,35.2483727595389,18.9429867304039,34.4256882467874,32.2032514763366,16.6918425132577,86.439098199021,576.014652974665,78.8952480746781,n.d.
Jun15,7622303.06362867,837860.970098333,135648.554640333,815669.435064667,2138172.91914333,57521.1705316667,170156.706330333,229728.606067333,271111.83797,139294.820219,187618.195332667,67749.7944163333,48538.4509466667,62196.4611493333,2159.531638,1324908.96366,9435.28777566667,6725048.19859605,739188.004989157,134069.79983666,796954.457234412,1846290.97827307,57253.8449250517,169753.018292563,222745.12559871,254457.911204445,136943.889404942,184634.67535448,67251.57621338,46321.0861455333,57636.6081963967,1854.73728892833,1312960.1069393,8729.724246685,247882.23451083,4696.36613573833,1578.75480367369,18714.9778302549,164722.407778832,267.325606615009,403.688037770007,6983.48046862335,16653.9267655549,2350.93081405836,2983.51997818663,498.218202953323,2217.36480113333,4559.85295293669,304.794349071664,11948.8567206967,705.563528981668,7.06,6.5,6.64,6.5,9.16,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,25.5868123866118,20.560386175869,30.5416862482595,20.3364152823614,24.2610581218668,21.8957831907971,16.0316659660461,11.8112029575656,37.8847365748507,18.8209248887447,33.4231283568684,37.3958368150139,18.2189140645802,87.9383783745041,297.782911532584,78.9152818286482,n.d.
Jul15,7258931.87700677,867985.757804194,126793.908996452,843428.798517419,1683461.68730548,59442.7263819355,179184.521414839,240084.316018065,269028.055860645,146698.757328387,193995.029535484,68528.9331883871,55080.0155896774,60923.3145287097,2352.64973903226,1331648.26431194,7338.11369774193,6380255.27446443,753032.1694675,122342.323128392,816084.1490022,1438169.89162005,58915.1104541581,176948.716182403,229403.520913031,255668.948842387,143214.359841695,189948.109582358,68171.0809486452,52497.9660914548,56637.8398552242,1925.31729371129,1321873.74051387,7205.96437629355,168062.2705323,12269.8353279436,4451.58586805969,27344.6495152192,61777.1376213934,527.615927777421,2235.80523243544,10680.7951050339,13359.107018258,3484.39748669197,4046.91995312577,357.852239741943,2582.04949822259,4285.47467348547,427.332445320969,9774.52379806909,132.149321448384,6.6,6.5,6.5,6.5,6.95,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,23.011774015753,17.8772380745653,35.6339497514901,15.2189146555583,17.4973567739677,18.9915158768837,14.876205962904,13.2952027050694,36.8777148583039,18.0779568932366,32.6509713413175,35.4657554104379,17.5302073327167,88.9666364307055,288.985408398619,79.6662866380472,n.d.
Ago15,7671944.09285968,932870.274016774,137786.311903226,826826.806142903,1691125.70975,59745.5495619355,180570.456857097,245348.468573226,263828.165207097,142769.521605161,194184.87514129,66428.2820464516,49864.039706129,58255.4340225806,2395.40452709677,1342057.65735323,9207.98739387097,6311187.7358013,753410.509316003,136192.460375178,809934.268461584,1414635.00469692,59516.010943329,180106.023287324,232324.104563452,253374.070800144,141263.825607702,191556.947761568,65959.3156023435,48075.1773283307,54674.3715765419,2136.17145549516,1334285.84845402,9016.61377999032,116225.409142975,6158.36738820085,1593.85152804826,16892.5376813193,26324.7668048517,229.538618606468,464.433569772506,13024.3640097742,10454.0944069532,1505.69599745966,2627.92737972256,468.966444108072,1788.86237779838,3581.0624460387,259.233071601613,7771.80889920466,191.373613880644,6.6,6.52,6.58,6.5,6.96,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,23.2385264557672,21.8388888426031,32.5822603085369,15.8591898556076,18.7784442426061,17.4397218434906,15.9232008794628,11.8592424906008,35.1947369958923,16.8779436994006,32.7414535568892,33.919396767533,24.4416786187168,89.7271567885647,242.286358400248,79.2908036731864,n.d.
Sep15,8125202.38901933,961746.742616,298456.184565333,816616.055561666,2077540.99376867,59628.045655,175833.468107333,244819.28187,274020.388269333,143851.073776,195979.333334667,70783.8857123333,40138.6802473333,56810.8246466667,1892.195816,1339867.27679,13263.6416286667,6698943.43928079,753442.29352314,297238.266734145,794828.703512198,1693447.55448949,59455.9250648783,175254.413692193,229500.452891472,265048.34697562,140881.114109558,192830.714226778,70045.49959212,37549.498844975,52272.5646542667,1638.36061653333,1331334.01335697,12966.575920155,120664.730680351,6033.5233633301,1217.91783118848,21787.3520494682,13729.071258268,172.120590121669,579.054415139975,4526.9065425225,8972.04129371336,2969.95966644169,3148.61910788829,738.386120213363,2589.18140235834,4538.2599924,253.835199466666,-12615.4630796499,297.065708511673,7.13,6.5,13.9,6.5,8.74,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,26.2965759348974,23.7344606245926,31.783421325069,20.9971106964142,26.8301451826993,17.6418026938785,16.3528973236281,12.7876149991041,36.1288822025304,17.110728158335,29.8008609195217,37.1853886952392,32.893311879739,89.7734251323405,276.144557669367,78.4157514626945,n.d.
Oct15,7144904.30287903,911417.385120968,164183.657826129,832941.038260645,1683051.41326452,61139.5491829032,173474.454955806,229406.86161871,280615.176017742,148812.862922581,247612.762123548,69964.6347390323,41153.7034206452,56098.6218819355,1988.25587580645,1361984.47233323,14615.4730706452,6199567.6695576,767696.224561081,160580.844697627,802460.004665129,1250470.7333198,61024.0878372387,172594.830799195,222450.024140521,272395.756579574,147522.087727048,199563.183698261,69038.421650921,39325.0271361581,50716.3708322113,1673.20030202419,1350830.32339851,14367.9525839242,178270.540786415,6084.1705777661,3602.81312850176,30481.033595516,17021.5763728702,115.461345664522,879.624156611293,6956.83747818874,8219.41943816766,1290.77519553225,48049.5784252871,926.213088111317,1828.6762844871,5382.25104972418,315.055573782257,11154.1489347209,247.520486720967,6.51,6.5,6.81,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,28.6134824592663,26.4459598173461,26.84016887871,30.5512529606272,29.6573628583052,19.231599038781,17.446119214745,11.8427013609587,37.3271198481479,17.2218181347129,33.5976185538351,32.9066800167533,31.851277940256,91.4165002188448,367.009585622606,77.8959018155986,n.d.
Nov15,7168821.46371933,898660.959299333,153886.377947,838802.630509333,1798967.95464167,61387.7584416667,175872.788180333,240485.940712667,292572.430683333,153151.925076667,204746.137069333,70570.2352733333,49465.767581,53891.889104,2023.62351266667,1458136.74098333,13588.6225676667,6374007.81938814,780913.567776138,152885.523537905,819491.079193063,1321292.8699919,61133.287799675,175559.681017738,227868.71677401,284518.268158627,152054.87746475,202482.18644966,69570.27063896,47241.7048045583,49387.3895054583,1688.72410356,1326042.66524002,13405.1318011,98960.1008145166,5251.77409285582,1000.85440909488,19311.55131627,14672.1643206843,254.470641991649,313.107162594921,12617.2239386567,8054.16252470671,1097.04761191661,2263.95061967335,999.964634373358,2224.06277644166,4504.49959854166,334.899409106667,11328.4104210232,183.490766566668,6.52,6.5,7.13,6.5,6.54,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,28.4443626989113,30.1947557010118,31.973591570841,22.2139330833167,30.1411549883554,24.2675725261644,15.1144063807268,12.8947633166006,37.1777679123046,18.0018394339766,33.8678380943153,31.373797047768,34.5886635285935,92.665272764162,497.563018185557,72.6436335465148,n.d.
Dic15,7107392.80993484,928002.676991935,142388.548351613,857073.669520645,1690907.66025645,60995.1467832258,181995.763121613,234139.218536774,308380.908920645,156491.78658129,220123.433371936,73870.9361316129,53078.180803871,51988.5242596774,1657.03802612903,1721489.10285419,11793.6953606452,6533998.91915793,808399.806296152,147478.058648979,834428.670594665,1351582.87333518,60502.9479938839,181074.731949842,224149.310653848,299016.55402557,152260.854793576,215919.4094122,73042.4031501597,49703.0517784177,47971.9694748178,1252.20671795323,1358313.07944867,11212.0277267532,106206.163621036,8541.42450545647,-5089.51029736627,22644.9989259806,18474.0224424219,492.198789341926,921.031171770899,9989.90788292579,9364.3548950757,4230.93178771456,4204.02395973557,828.532981453258,3375.12902545321,4016.55478485967,404.831308175806,21658.6645301162,581.667633891938,6.52,6.5,7.13,6.5,6.54,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,26.5007120982536,29.1966783020121,33.0625319549788,19.1046587909116,26.3386823471271,28.6813151105764,17.6469025303737,13.0609752133299,36.6104343938341,17.6416363036074,34.7031600375447,32.1897410848284,21.4607336544649,92.0620019993295,874.44731601139,72.0768624957018,n.d.
Ene16,7624528.44220064,990023.91476871,144686.653742903,903900.82580129,1865390.58085226,59398.1720412903,182194.274042903,229566.117206129,315586.444434194,153542.766594516,215227.794608387,78045.5785635484,41452.6290509677,53429.5363996774,1402.53835548387,1876310.75216548,8544.85036741935,6793332.87877618,798713.689329777,143411.81677201,882910.22666363,1528521.67432777,59100.3404610806,182028.999707121,226913.36544869,305656.154195348,152414.957326765,213613.135670853,77186.7724642258,39597.387959979,45838.9645368242,1056.31358316774,1387236.69423222,8458.0951174871,255140.625758582,7758.40005296613,1274.8369708934,20990.5991376598,176323.034072304,297.831580209695,165.274335782229,2652.75175743872,9930.29023884523,1127.80926775163,1614.65893753387,858.806099322596,1855.2410909887,7590.57186285322,346.224772316129,26063.2598466541,86.7552499322602,6.67,6.5,6.78,6.5,7.29,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,26.6730831238913,27.7586796806053,38.5814706830315,18.8732234389114,27.9470609859228,24.8094102839134,19.2004773977966,11.9859558519725,37.0841719322908,17.7340415501544,29.5891010732247,31.8974417305544,27.2526841416878,91.1362609680378,783.169149520766,72.3224332024297,n.d.
Feb16,7441268.89173,1038817.35139103,147273.842847241,882530.510566897,1748517.74368034,58803.4439982759,182116.105325517,260312.399482414,324834.526422069,152438.554506897,215991.328788966,78373.6971389655,44813.3882451724,46684.6667427586,1498.99312,1711277.97149505,7509.50490034483,6676186.27709657,809398.170217157,146229.908668145,873955.856527471,1383781.52566401,58463.2650012069,181569.068019278,248109.389252803,315258.050856248,150811.211942053,213632.568437129,78129.802062,41831.0818873328,43488.1681500276,1155.91018617414,1444592.49167175,7392.62928716896,87208.5642071095,10408.5365475164,1043.93417909642,8574.65403942592,12456.0302602552,340.178997068976,547.037306239684,12203.0102296104,9576.47556582077,1627.34256484315,2358.76035183619,243.895076965491,2982.30635783965,3196.49859273103,343.082933825862,17109.3544092276,116.875613175863,6.56,6.5,6.54,6.5,6.81,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,26.8608034614018,28.6305476032771,41.7165977414097,19.2733942705043,28.6421603536593,19.3048477731919,22.5234377276212,11.3876293446028,37.0252240519827,18.0049895134842,30.0896508296044,29.8372291848345,21.5373599082572,90.8949553285382,667.228407548668,75.0758296257923,n.d.
Mar16,7444803.60767097,1025072.01123839,164320.831270323,869956.895939032,1731711.51872419,60531.8942809678,177863.798731936,267909.550292903,326277.179633871,155770.6837,214725.047360968,80797.0086609678,39860.947453871,45827.5004516129,1426.60897096774,1689733.71379936,7047.00634548387,6717731.65831809,790880.871219127,148044.997507177,855506.820119774,1465662.33255747,60139.9621528403,177092.652329156,256566.270644786,316871.57244621,153729.602048456,212783.238954482,80316.9470709178,37637.0992416355,41277.6610392984,979.010534470968,1407152.03060648,6710.58815844677,142236.756888482,8600.35362082905,16275.8337631453,14450.0758192581,15944.9861882484,391.932128127425,771.146402779073,11343.2796481178,9405.60718766122,2041.08165154353,1941.80840648542,480.061590050017,2223.84821223549,3879.78244095161,447.598436496775,22224.749633742,336.418187037097,6.57,6.5,6.54,6.5,6.81,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,25.6979162136756,27.393314610178,43.6955610188256,19.2998027136635,27.2212248391398,21.8072147324554,21.0990949291984,11.5214214171755,35.3535837869388,17.503506352746,29.7698573009809,30.0465311020764,13.248142904151,87.9202720617129,761.479539640759,74.8750758342197,n.d.
Abr16,7708066.373897,1013276.19519867,159290.369423667,877093.72049,1799061.05273533,62474.3740896667,172934.118625667,293457.173124333,329043.274452667,159216.521278,215207.186538333,82266.365532,43543.2478196667,43391.1988846667,2139.254438,1721708.78313667,6319.060178,6910242.87410225,834698.21387407,158463.746029178,852564.345141578,1610501.92050703,62071.3476667917,172658.446380637,271171.122274845,319446.952093598,157470.939948963,212793.978695848,81631.3233720834,41038.7293218717,39009.8881929033,1775.74697248,1370482.43836482,5124.59363249167,239707.933115278,5198.93236188667,826.623394488706,24529.3753484215,28213.1317864133,403.026422874988,275.672245029909,22286.0508494884,9596.32235906829,1745.5813290367,2413.20784248504,635.042159916641,2504.51849779499,1338.29360422,363.507465519999,32823.2146105402,1194.46654550833,6.7,6.5,6.92,6.52,7.41,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,26.0187099176301,28.530709624095,37.0989023776376,21.2169506932489,26.8464416900526,26.7183370319141,16.5720786456424,13.3490993395654,36.4784589040508,16.6546943541135,31.2793789821924,31.6419208903794,16.4468055673483,61.4164103787535,390.020509413514,74.8958067263628,n.d.
May16,7533975.76843355,967548.769292258,142005.320566129,945323.021660323,1735847.71346581,65183.6274370968,178236.190876774,290806.92348,336102.191138387,153804.298196452,223139.305078387,86838.7151287097,42970.0187851613,44305.1562096774,3133.34252580645,1699081.69910161,3101.48876193548,6834481.30440116,843131.615143811,140116.652816061,926460.030528018,1427623.78455011,64903.3411142581,177820.39349404,274527.077327205,325686.792660555,152722.361921371,219828.653403513,85688.6338904742,40663.2659900581,37191.4246247113,2070.64132950161,1333427.62863297,2867.77814018548,172189.170357463,4585.67551628714,1888.66775006767,18862.9911323046,15518.8893184355,280.286322838705,415.797382733892,16279.8461527951,10415.3984778323,1081.93627508063,3310.65167487416,1150.08123823546,2306.75279510322,1564.38465510646,1062.70119630484,31035.0943542322,233.71062175,6.5,6.5,6.51,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,26.3986775120423,25.6160454254539,42.1712045086836,19.4559165608585,25.6830798430478,30.0684307624389,17.5555273833425,13.1397737653599,37.4388085967317,17.5412990158521,34.370894007435,30.8741680656351,13.5047373062187,60.9791121195897,320.593413251858,72.432783087781,n.d.
Jun16,7291735.001096,909357.183876333,147309.315707667,954078.812526,1589241.50505233,65233.032996,186973.291258333,260959.698834333,333670.775160667,153383.247335,225579.057063333,89654.3026583334,45841.8477696667,42668.356156,1631.08635,1699492.78822333,3298.42733933333,6855738.30296863,850823.968000586,146088.40176957,936150.522001067,1461546.41239916,64896.2023491166,186551.435342523,245530.560635902,323196.249741473,152078.157143965,223335.933527742,89291.7424345916,43123.470571285,35348.7282940567,1252.23821428333,1314212.89243803,2880.13440684667,137506.50130081,6929.69109932007,1220.91393809642,17928.2905249333,20608.72456854,336.830646883353,421.855915810041,15429.1381984316,10474.5254191933,1305.09019103501,2243.12353559162,362.560223741715,2718.37719838168,2202.23239460667,378.848135716667,23146.7344967132,418.292932486667,6.55,6.5,6.98,6.5,6.7,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,26.0106517506707,24.0721534585645,48.7665676463364,17.6035127105293,24.8874136013613,27.309684878692,20.2094545696712,12.4872863926927,36.8354635162352,18.7745124598313,34.654765300439,32.4674338773801,23.2577226821133,60.9081866956421,293.205366810951,71.5831679703931,n.d.
Jul16,7298855.95112413,908513.877985806,139373.753865484,1000823.62271806,1599255.31754452,64356.5084089785,189692.204974516,219723.239224656,359027.085379871,153733.677225484,228403.718967419,86943.6844312903,47058.4633211183,45155.4367867742,1790.62166322581,1702732.30316323,3115.32665,6998682.42162912,873607.426492953,134366.798234752,979034.329572545,1496478.92956283,63860.1711589274,188033.37869984,212295.707489869,347899.609593271,152572.839012373,227017.337947253,86058.5283160242,44531.0598847065,34111.4696375532,1339.83814979677,1296060.83921493,1682.90447306129,128645.177812499,5244.29744842904,5006.95563073227,21789.2931455194,12939.4035950806,496.337250051056,1658.82627467583,7427.53173478653,11127.4757865999,1160.83821311129,1386.38102016601,885.156115266088,2527.40343641183,5685.91443099677,450.783513429033,47057.6376393902,1432.42217693871,6.51,6.5,6.5,6.5,6.55,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,28.9878241068182,26.6218481201697,60.4890632673963,20.5697200309299,31.4317897075515,27.0958722327555,17.4206874588889,13.8488229996801,37.8782811040534,18.8260794620407,36.2569010809961,30.0739931062821,42.9427130358399,61.2603403021373,271.283736567646,72.9745437022555,n.d.
Ago16,7372900.46625375,910320.333994813,143100.818518387,1035491.89395258,1579511.90827388,62785.8200983871,196708.48117871,226531.996292258,370860.190765161,156046.220289355,229031.301487419,86663.3407058065,54621.7937209677,35250.1002442532,2916.83670322581,1260405.1580746,2212.05766935484,7250839.71348852,903728.555980439,141934.809838439,1013127.52106165,1569024.18207742,62453.9259540677,195595.545477842,224437.547579071,359622.472346655,155036.929329331,227210.73626506,86122.2466881903,53044.9951234177,32626.9081044694,2452.95742866452,1258047.73813508,692.530506472581,122060.752765234,6591.77801437419,1166.00867994839,22364.3728909339,10487.7261964581,331.894144319355,1112.93570086774,2094.4487131871,11237.7184185081,1009.29096002419,1820.56522235968,541.094017616129,1576.79859755,2623.19213978387,463.87927456129,2357.41993951613,1519.52716288226,6.50165177005339,6.5,6.5,6.50000000000001,6.500356592679,6.5,6.5,6.5,6.50000000000003,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,30.5735549001309,28.655092932563,68.4972682570573,20.1243864412605,31.5655422694522,25.6235689889108,19.2412746379002,15.5221389589388,39.274330210379,21.5670101564605,38.1345920591822,30.999266736197,51.1537305172844,61.614806405098,173.156031346479,71.3997221204587,0
